model,horizon,val_rmse_mean,val_rmse_std,val_rmse_min,val_rmse_max,n
persistence,24,147.5071,251.9342,22.7419,660.2892,6
lightgbm,24,172.7821,321.5255,18.6477,828.1592,6
sarimax,24,179.8963,336.8092,19.5236,866.5939,6
zero,24,189.5311,354.5423,21.7696,912.3383,6
linreg_lag,24,189.6618,354.2394,22.2105,911.855,6
seasonal_naive_168,24,205.1071,345.2093,42.9008,908.3561,6
historical_mean,24,205.2952,336.6122,52.1295,891.8391,6
seasonal_naive_24,24,210.5892,367.9909,44.043,961.1944,6
lightgbm_tweedie,24,258.4425,415.4194,33.7574,881.092,4
ridge_lag,24,321.9412,485.0246,20.682,1207.0336,6
sarimax,48,157.8896,274.1998,33.9364,717.1129,6
lightgbm,48,158.8211,274.5697,33.1762,718.5828,6
zero,48,160.9204,275.646,34.0239,722.9642,6
linreg_lag,48,160.9758,275.4452,34.1433,722.6105,6
persistence,48,178.6656,286.0502,33.489,759.8461,6
historical_mean,48,179.4752,261.6985,64.2358,713.319,6
seasonal_naive_168,48,183.2343,263.2396,51.5167,719.7936,6
seasonal_naive_24,48,217.9117,270.316,35.8602,737.5704,6
ridge_lag,48,1712.4969,0.0,1712.4969,1712.4969,1
