fips,tracked_max,june_total_outage,june_peak
26125,618124,987000,23346
26163,922425,808098,15143
26099,413676,483104,17047
26161,174449,389948,11889
26081,298597,132197,6841
26115,75812,78516,2423
26049,207009,71783,4581
26039,11911,63877,3292
26077,130428,52648,3695
26021,83554,50541,3393
26093,90514,49499,1015
26117,34190,43115,4513
26011,11621,41603,2094
26075,78896,37628,2626
26123,29351,36217,2877
26121,85171,34619,2309
26147,84953,28411,1366
26151,24866,28358,1286
26065,69433,26401,1720
26139,107388,25762,3585
26145,97248,22950,4592
26067,26532,22752,2129
26015,33483,21776,1782
26073,32544,19051,3695
26025,63077,18511,1937
26087,43561,17836,2536
26059,21397,17520,2878
26091,49355,16729,1322
26037,36256,16506,4146
26149,26071,16253,1520
26111,44006,15564,792
26085,14505,15325,1208
26157,28269,13393,933
26027,26873,12469,1270
26017,34784,11841,1838
26159,35142,10358,1340
26035,27785,10287,1339
26057,17155,9347,2006
26155,34795,9275,703
26045,37812,8194,361
26143,26737,7759,1686
26137,18769,7435,2259
26019,17266,6516,1049
26129,18591,6038,865
26061,25285,5978,1184
26055,50406,5827,501
26001,12646,5631,1431
26005,61799,5334,852
26009,21491,5138,1008
26165,20465,4869,342
26029,17530,4387,1192
26051,21244,4276,1984
26069,23341,3755,996
26127,17842,3535,649
26101,26054,2758,788
26105,20737,2753,477
26053,10363,2743,368
26133,15068,2716,282
26107,24194,2387,427
26063,23305,2358,126
26113,15896,2255,224
26041,14337,2186,262
26013,2327,2121,1263
26043,13682,2121,850
26071,9362,1964,600
26033,23027,1876,392
26089,18833,1861,184
26079,17925,1804,1267
26103,16052,1705,973
26003,9270,1662,38
26023,16659,1606,261
26109,10633,1074,529
26047,17692,919,594
26097,11877,915,234
26031,21302,784,126
26135,9622,716,82
26131,5288,385,141
26141,10514,243,94
26119,18295,111,42
26153,7295,8,2
26083,4807,7,3
26095,2548,0,0
26007,3598,0,0
