timestamp,model,seed,horizon,fold,val_rmse,train_time_s,config
2026-04-25T03:55:50,bilstm__h64_l1_d10_lr0010_sl48,42,24,0,95.8178,1076.8,"{""epochs_run"": 11, ""best_inner_val_loss"": 4.526771, ""input_dim"": 98, ""seq_len"": 48, ""hidden"": 64, ""layers"": 1, ""drop"": 0.1, ""lr"": 0.001, ""sl"": 48, ""arch"": ""bilstm"", ""tier"": ""neural_grid"", ""val_start"": ""2023-06-29 01:00:00"", ""val_peak"": 6688.0}"
2026-04-25T04:10:52,bilstm__h64_l1_d10_lr0010_sl48,42,24,1,891.5925,902.17,"{""epochs_run"": 10, ""best_inner_val_loss"": 0.880842, ""input_dim"": 98, ""seq_len"": 48, ""hidden"": 64, ""layers"": 1, ""drop"": 0.1, ""lr"": 0.001, ""sl"": 48, ""arch"": ""bilstm"", ""tier"": ""neural_grid"", ""val_start"": ""2023-06-26 01:00:00"", ""val_peak"": 86313.0}"
2026-04-25T04:19:37,bilstm__h64_l1_d10_lr0010_sl48,42,24,2,62.5738,524.44,"{""epochs_run"": 6, ""best_inner_val_loss"": 0.235787, ""input_dim"": 98, ""seq_len"": 48, ""hidden"": 64, ""layers"": 1, ""drop"": 0.1, ""lr"": 0.001, ""sl"": 48, ""arch"": ""bilstm"", ""tier"": ""neural_grid"", ""val_start"": ""2023-06-23 01:00:00"", ""val_peak"": 6928.0}"
2026-04-25T04:31:18,bilstm__h64_l1_d10_lr0010_sl48,42,24,3,51.2966,701.46,"{""epochs_run"": 8, ""best_inner_val_loss"": 0.055578, ""input_dim"": 98, ""seq_len"": 48, ""hidden"": 64, ""layers"": 1, ""drop"": 0.1, ""lr"": 0.001, ""sl"": 48, ""arch"": ""bilstm"", ""tier"": ""neural_grid"", ""val_start"": ""2023-06-20 01:00:00"", ""val_peak"": 3982.0}"
2026-04-25T04:39:52,bilstm__h64_l1_d10_lr0010_sl48,42,24,4,25.4502,513.58,"{""epochs_run"": 6, ""best_inner_val_loss"": 0.369691, ""input_dim"": 98, ""seq_len"": 48, ""hidden"": 64, ""layers"": 1, ""drop"": 0.1, ""lr"": 0.001, ""sl"": 48, ""arch"": ""bilstm"", ""tier"": ""neural_grid"", ""val_start"": ""2023-06-17 01:00:00"", ""val_peak"": 2738.0}"
2026-04-25T04:48:00,bilstm__h64_l1_d10_lr0010_sl48,42,24,5,56.4468,487.51,"{""epochs_run"": 6, ""best_inner_val_loss"": 0.646112, ""input_dim"": 98, ""seq_len"": 48, ""hidden"": 64, ""layers"": 1, ""drop"": 0.1, ""lr"": 0.001, ""sl"": 48, ""arch"": ""bilstm"", ""tier"": ""neural_grid"", ""val_start"": ""2023-06-14 01:00:00"", ""val_peak"": 4890.0}"
2026-04-25T05:10:58,bilstm__h64_l1_d10_lr0010_sl48,42,48,0,81.0747,1378.42,"{""epochs_run"": 14, ""best_inner_val_loss"": 21.383518, ""input_dim"": 98, ""seq_len"": 48, ""hidden"": 64, ""layers"": 1, ""drop"": 0.1, ""lr"": 0.001, ""sl"": 48, ""arch"": ""bilstm"", ""tier"": ""neural_grid"", ""val_start"": ""2023-06-28 01:00:00"", ""val_peak"": 6688.0}"
2026-04-25T05:20:44,bilstm__h64_l1_d10_lr0010_sl48,42,48,1,719.8713,585.07,"{""epochs_run"": 6, ""best_inner_val_loss"": 0.351399, ""input_dim"": 98, ""seq_len"": 48, ""hidden"": 64, ""layers"": 1, ""drop"": 0.1, ""lr"": 0.001, ""sl"": 48, ""arch"": ""bilstm"", ""tier"": ""neural_grid"", ""val_start"": ""2023-06-25 01:00:00"", ""val_peak"": 86313.0}"
2026-04-25T05:34:03,bilstm__h64_l1_d10_lr0010_sl48,42,48,2,112.0564,799.74,"{""epochs_run"": 9, ""best_inner_val_loss"": 0.073143, ""input_dim"": 98, ""seq_len"": 48, ""hidden"": 64, ""layers"": 1, ""drop"": 0.1, ""lr"": 0.001, ""sl"": 48, ""arch"": ""bilstm"", ""tier"": ""neural_grid"", ""val_start"": ""2023-06-22 01:00:00"", ""val_peak"": 6928.0}"
2026-04-25T05:54:55,bilstm__h64_l1_d10_lr0010_sl48,42,48,3,50.5706,1251.43,"{""epochs_run"": 14, ""best_inner_val_loss"": 0.214299, ""input_dim"": 98, ""seq_len"": 48, ""hidden"": 64, ""layers"": 1, ""drop"": 0.1, ""lr"": 0.001, ""sl"": 48, ""arch"": ""bilstm"", ""tier"": ""neural_grid"", ""val_start"": ""2023-06-19 01:00:00"", ""val_peak"": 3982.0}"
