timestamp,model,seed,horizon,fold,val_rmse,train_time_s,config
2026-04-25T03:49:23,dlinear__h64_l1_d10_lr0010_sl48,42,24,0,281.3874,545.5,"{""epochs_run"": 13, ""best_inner_val_loss"": 5.138434, ""input_dim"": 98, ""seq_len"": 48, ""hidden"": 64, ""layers"": 1, ""drop"": 0.1, ""lr"": 0.001, ""sl"": 48, ""arch"": ""dlinear"", ""tier"": ""neural_grid"", ""val_start"": ""2023-06-29 01:00:00"", ""val_peak"": 6688.0}"
2026-04-25T03:53:05,dlinear__h64_l1_d10_lr0010_sl48,42,24,1,815.0379,221.64,"{""epochs_run"": 7, ""best_inner_val_loss"": 1.47846, ""input_dim"": 98, ""seq_len"": 48, ""hidden"": 64, ""layers"": 1, ""drop"": 0.1, ""lr"": 0.001, ""sl"": 48, ""arch"": ""dlinear"", ""tier"": ""neural_grid"", ""val_start"": ""2023-06-26 01:00:00"", ""val_peak"": 86313.0}"
2026-04-25T04:02:04,dlinear__h64_l1_d10_lr0010_sl48,42,24,2,86.7967,539.69,"{""epochs_run"": 11, ""best_inner_val_loss"": 0.22221, ""input_dim"": 98, ""seq_len"": 48, ""hidden"": 64, ""layers"": 1, ""drop"": 0.1, ""lr"": 0.001, ""sl"": 48, ""arch"": ""dlinear"", ""tier"": ""neural_grid"", ""val_start"": ""2023-06-23 01:00:00"", ""val_peak"": 6928.0}"
2026-04-25T04:03:10,dlinear__h64_l1_d10_lr0010_sl48,42,24,3,56.1643,65.58,"{""epochs_run"": 11, ""best_inner_val_loss"": 0.120636, ""input_dim"": 98, ""seq_len"": 48, ""hidden"": 64, ""layers"": 1, ""drop"": 0.1, ""lr"": 0.001, ""sl"": 48, ""arch"": ""dlinear"", ""tier"": ""neural_grid"", ""val_start"": ""2023-06-20 01:00:00"", ""val_peak"": 3982.0}"
2026-04-25T04:21:34,dlinear__h64_l1_d10_lr0010_sl48,42,24,4,48.0659,1103.68,"{""epochs_run"": 20, ""best_inner_val_loss"": 0.368164, ""input_dim"": 98, ""seq_len"": 48, ""hidden"": 64, ""layers"": 1, ""drop"": 0.1, ""lr"": 0.001, ""sl"": 48, ""arch"": ""dlinear"", ""tier"": ""neural_grid"", ""val_start"": ""2023-06-17 01:00:00"", ""val_peak"": 2738.0}"
2026-04-25T04:36:51,dlinear__h64_l1_d10_lr0010_sl48,42,24,5,66.6416,917.8,"{""epochs_run"": 20, ""best_inner_val_loss"": 0.689286, ""input_dim"": 98, ""seq_len"": 48, ""hidden"": 64, ""layers"": 1, ""drop"": 0.1, ""lr"": 0.001, ""sl"": 48, ""arch"": ""dlinear"", ""tier"": ""neural_grid"", ""val_start"": ""2023-06-14 01:00:00"", ""val_peak"": 4890.0}"
2026-04-25T04:42:17,dlinear__h64_l1_d10_lr0010_sl48,42,48,0,163.1936,325.27,"{""epochs_run"": 8, ""best_inner_val_loss"": 21.817556, ""input_dim"": 98, ""seq_len"": 48, ""hidden"": 64, ""layers"": 1, ""drop"": 0.1, ""lr"": 0.001, ""sl"": 48, ""arch"": ""dlinear"", ""tier"": ""neural_grid"", ""val_start"": ""2023-06-28 01:00:00"", ""val_peak"": 6688.0}"
2026-04-25T04:45:27,dlinear__h64_l1_d10_lr0010_sl48,42,48,1,737.7428,190.65,"{""epochs_run"": 6, ""best_inner_val_loss"": 0.530292, ""input_dim"": 98, ""seq_len"": 48, ""hidden"": 64, ""layers"": 1, ""drop"": 0.1, ""lr"": 0.001, ""sl"": 48, ""arch"": ""dlinear"", ""tier"": ""neural_grid"", ""val_start"": ""2023-06-25 01:00:00"", ""val_peak"": 86313.0}"
2026-04-25T05:12:25,dlinear__h64_l1_d10_lr0010_sl48,42,48,2,91.0367,1617.67,"{""epochs_run"": 20, ""best_inner_val_loss"": 0.08697, ""input_dim"": 98, ""seq_len"": 48, ""hidden"": 64, ""layers"": 1, ""drop"": 0.1, ""lr"": 0.001, ""sl"": 48, ""arch"": ""dlinear"", ""tier"": ""neural_grid"", ""val_start"": ""2023-06-22 01:00:00"", ""val_peak"": 6928.0}"
2026-04-25T05:25:53,dlinear__h64_l1_d10_lr0010_sl48,42,48,3,54.6111,807.51,"{""epochs_run"": 20, ""best_inner_val_loss"": 0.261659, ""input_dim"": 98, ""seq_len"": 48, ""hidden"": 64, ""layers"": 1, ""drop"": 0.1, ""lr"": 0.001, ""sl"": 48, ""arch"": ""dlinear"", ""tier"": ""neural_grid"", ""val_start"": ""2023-06-19 01:00:00"", ""val_peak"": 3982.0}"
