timestamp,model,seed,horizon,fold,val_rmse,train_time_s,config
2026-04-25T04:08:36,gru__h64_l1_d10_lr0010_sl48,42,24,0,84.1074,1842.89,"{""epochs_run"": 20, ""best_inner_val_loss"": 4.507792, ""input_dim"": 98, ""seq_len"": 48, ""hidden"": 64, ""layers"": 1, ""drop"": 0.1, ""lr"": 0.001, ""sl"": 48, ""arch"": ""gru"", ""tier"": ""neural_grid"", ""val_start"": ""2023-06-29 01:00:00"", ""val_peak"": 6688.0}"
2026-04-25T04:37:45,gru__h64_l1_d10_lr0010_sl48,42,24,1,902.3901,1749.15,"{""epochs_run"": 20, ""best_inner_val_loss"": 0.880938, ""input_dim"": 98, ""seq_len"": 48, ""hidden"": 64, ""layers"": 1, ""drop"": 0.1, ""lr"": 0.001, ""sl"": 48, ""arch"": ""gru"", ""tier"": ""neural_grid"", ""val_start"": ""2023-06-26 01:00:00"", ""val_peak"": 86313.0}"
2026-04-25T04:48:22,gru__h64_l1_d10_lr0010_sl48,42,24,2,84.1769,637.16,"{""epochs_run"": 7, ""best_inner_val_loss"": 0.344031, ""input_dim"": 98, ""seq_len"": 48, ""hidden"": 64, ""layers"": 1, ""drop"": 0.1, ""lr"": 0.001, ""sl"": 48, ""arch"": ""gru"", ""tier"": ""neural_grid"", ""val_start"": ""2023-06-23 01:00:00"", ""val_peak"": 6928.0}"
2026-04-25T04:56:10,gru__h64_l1_d10_lr0010_sl48,42,24,3,48.8538,467.48,"{""epochs_run"": 6, ""best_inner_val_loss"": 0.057549, ""input_dim"": 98, ""seq_len"": 48, ""hidden"": 64, ""layers"": 1, ""drop"": 0.1, ""lr"": 0.001, ""sl"": 48, ""arch"": ""gru"", ""tier"": ""neural_grid"", ""val_start"": ""2023-06-20 01:00:00"", ""val_peak"": 3982.0}"
2026-04-25T05:10:28,gru__h64_l1_d10_lr0010_sl48,42,24,4,41.5701,858.2,"{""epochs_run"": 11, ""best_inner_val_loss"": 0.373457, ""input_dim"": 98, ""seq_len"": 48, ""hidden"": 64, ""layers"": 1, ""drop"": 0.1, ""lr"": 0.001, ""sl"": 48, ""arch"": ""gru"", ""tier"": ""neural_grid"", ""val_start"": ""2023-06-17 01:00:00"", ""val_peak"": 2738.0}"
2026-04-25T05:20:37,gru__h64_l1_d10_lr0010_sl48,42,24,5,54.2531,608.21,"{""epochs_run"": 8, ""best_inner_val_loss"": 0.639368, ""input_dim"": 98, ""seq_len"": 48, ""hidden"": 64, ""layers"": 1, ""drop"": 0.1, ""lr"": 0.001, ""sl"": 48, ""arch"": ""gru"", ""tier"": ""neural_grid"", ""val_start"": ""2023-06-14 01:00:00"", ""val_peak"": 4890.0}"
2026-04-25T05:46:25,gru__h64_l1_d10_lr0010_sl48,42,48,0,146.8876,1548.29,"{""epochs_run"": 17, ""best_inner_val_loss"": 21.541655, ""input_dim"": 98, ""seq_len"": 48, ""hidden"": 64, ""layers"": 1, ""drop"": 0.1, ""lr"": 0.001, ""sl"": 48, ""arch"": ""gru"", ""tier"": ""neural_grid"", ""val_start"": ""2023-06-28 01:00:00"", ""val_peak"": 6688.0}"
2026-04-25T05:54:48,gru__h64_l1_d10_lr0010_sl48,42,48,1,721.7787,502.44,"{""epochs_run"": 6, ""best_inner_val_loss"": 0.353006, ""input_dim"": 98, ""seq_len"": 48, ""hidden"": 64, ""layers"": 1, ""drop"": 0.1, ""lr"": 0.001, ""sl"": 48, ""arch"": ""gru"", ""tier"": ""neural_grid"", ""val_start"": ""2023-06-25 01:00:00"", ""val_peak"": 86313.0}"
2026-04-25T06:03:07,gru__h64_l1_d10_lr0010_sl48,42,48,2,90.6952,499.15,"{""epochs_run"": 6, ""best_inner_val_loss"": 0.074069, ""input_dim"": 98, ""seq_len"": 48, ""hidden"": 64, ""layers"": 1, ""drop"": 0.1, ""lr"": 0.001, ""sl"": 48, ""arch"": ""gru"", ""tier"": ""neural_grid"", ""val_start"": ""2023-06-22 01:00:00"", ""val_peak"": 6928.0}"
2026-04-25T06:10:57,gru__h64_l1_d10_lr0010_sl48,42,48,3,60.9232,469.65,"{""epochs_run"": 6, ""best_inner_val_loss"": 0.233749, ""input_dim"": 98, ""seq_len"": 48, ""hidden"": 64, ""layers"": 1, ""drop"": 0.1, ""lr"": 0.001, ""sl"": 48, ""arch"": ""gru"", ""tier"": ""neural_grid"", ""val_start"": ""2023-06-19 01:00:00"", ""val_peak"": 3982.0}"
