timestamp,model,seed,horizon,fold,val_rmse,train_time_s,config
2026-04-25T04:06:52,itransformer__h64_l1_d10_lr0010_sl48,42,24,0,89.2184,1591.95,"{""epochs_run"": 12, ""best_inner_val_loss"": 3.997741, ""input_dim"": 98, ""seq_len"": 48, ""hidden"": 64, ""layers"": 1, ""drop"": 0.1, ""lr"": 0.001, ""sl"": 48, ""arch"": ""itransformer"", ""tier"": ""neural_grid"", ""val_start"": ""2023-06-29 01:00:00"", ""val_peak"": 6688.0}"
2026-04-25T04:21:23,itransformer__h64_l1_d10_lr0010_sl48,42,24,1,788.1913,870.95,"{""epochs_run"": 7, ""best_inner_val_loss"": 0.9181, ""input_dim"": 98, ""seq_len"": 48, ""hidden"": 64, ""layers"": 1, ""drop"": 0.1, ""lr"": 0.001, ""sl"": 48, ""arch"": ""itransformer"", ""tier"": ""neural_grid"", ""val_start"": ""2023-06-26 01:00:00"", ""val_peak"": 86313.0}"
2026-04-25T04:34:25,itransformer__h64_l1_d10_lr0010_sl48,42,24,2,54.1782,781.39,"{""epochs_run"": 6, ""best_inner_val_loss"": 0.145862, ""input_dim"": 98, ""seq_len"": 48, ""hidden"": 64, ""layers"": 1, ""drop"": 0.1, ""lr"": 0.001, ""sl"": 48, ""arch"": ""itransformer"", ""tier"": ""neural_grid"", ""val_start"": ""2023-06-23 01:00:00"", ""val_peak"": 6928.0}"
2026-04-25T04:47:54,itransformer__h64_l1_d10_lr0010_sl48,42,24,3,42.104,809.02,"{""epochs_run"": 7, ""best_inner_val_loss"": 0.053746, ""input_dim"": 98, ""seq_len"": 48, ""hidden"": 64, ""layers"": 1, ""drop"": 0.1, ""lr"": 0.001, ""sl"": 48, ""arch"": ""itransformer"", ""tier"": ""neural_grid"", ""val_start"": ""2023-06-20 01:00:00"", ""val_peak"": 3982.0}"
2026-04-25T05:06:34,itransformer__h64_l1_d10_lr0010_sl48,42,24,4,35.9533,1120.27,"{""epochs_run"": 9, ""best_inner_val_loss"": 0.340282, ""input_dim"": 98, ""seq_len"": 48, ""hidden"": 64, ""layers"": 1, ""drop"": 0.1, ""lr"": 0.001, ""sl"": 48, ""arch"": ""itransformer"", ""tier"": ""neural_grid"", ""val_start"": ""2023-06-17 01:00:00"", ""val_peak"": 2738.0}"
2026-04-25T05:18:05,itransformer__h64_l1_d10_lr0010_sl48,42,24,5,44.6036,691.07,"{""epochs_run"": 6, ""best_inner_val_loss"": 0.649828, ""input_dim"": 98, ""seq_len"": 48, ""hidden"": 64, ""layers"": 1, ""drop"": 0.1, ""lr"": 0.001, ""sl"": 48, ""arch"": ""itransformer"", ""tier"": ""neural_grid"", ""val_start"": ""2023-06-14 01:00:00"", ""val_peak"": 4890.0}"
2026-04-25T05:44:53,itransformer__h64_l1_d10_lr0010_sl48,42,48,0,115.4787,1607.13,"{""epochs_run"": 12, ""best_inner_val_loss"": 21.586849, ""input_dim"": 98, ""seq_len"": 48, ""hidden"": 64, ""layers"": 1, ""drop"": 0.1, ""lr"": 0.001, ""sl"": 48, ""arch"": ""itransformer"", ""tier"": ""neural_grid"", ""val_start"": ""2023-06-28 01:00:00"", ""val_peak"": 6688.0}"
2026-04-25T05:57:17,itransformer__h64_l1_d10_lr0010_sl48,42,48,1,710.597,744.52,"{""epochs_run"": 6, ""best_inner_val_loss"": 0.310435, ""input_dim"": 98, ""seq_len"": 48, ""hidden"": 64, ""layers"": 1, ""drop"": 0.1, ""lr"": 0.001, ""sl"": 48, ""arch"": ""itransformer"", ""tier"": ""neural_grid"", ""val_start"": ""2023-06-25 01:00:00"", ""val_peak"": 86313.0}"
2026-04-25T06:18:37,itransformer__h64_l1_d10_lr0010_sl48,42,48,2,50.7437,1280.0,"{""epochs_run"": 10, ""best_inner_val_loss"": 0.072491, ""input_dim"": 98, ""seq_len"": 48, ""hidden"": 64, ""layers"": 1, ""drop"": 0.1, ""lr"": 0.001, ""sl"": 48, ""arch"": ""itransformer"", ""tier"": ""neural_grid"", ""val_start"": ""2023-06-22 01:00:00"", ""val_peak"": 6928.0}"
2026-04-25T06:38:35,itransformer__h64_l1_d10_lr0010_sl48,42,48,3,42.3277,1197.6,"{""epochs_run"": 10, ""best_inner_val_loss"": 0.225598, ""input_dim"": 98, ""seq_len"": 48, ""hidden"": 64, ""layers"": 1, ""drop"": 0.1, ""lr"": 0.001, ""sl"": 48, ""arch"": ""itransformer"", ""tier"": ""neural_grid"", ""val_start"": ""2023-06-19 01:00:00"", ""val_peak"": 3982.0}"
