timestamp,model,seed,horizon,fold,val_rmse,train_time_s,config
2026-04-25T04:03:37,lstm__h64_l1_d10_lr0010_sl48,42,24,0,94.5954,1543.52,"{""epochs_run"": 17, ""best_inner_val_loss"": 4.241498, ""input_dim"": 98, ""seq_len"": 48, ""hidden"": 64, ""layers"": 1, ""drop"": 0.1, ""lr"": 0.001, ""sl"": 48, ""arch"": ""lstm"", ""tier"": ""neural_grid"", ""val_start"": ""2023-06-29 01:00:00"", ""val_peak"": 6688.0}"
2026-04-25T04:15:40,lstm__h64_l1_d10_lr0010_sl48,42,24,1,863.8469,722.8,"{""epochs_run"": 9, ""best_inner_val_loss"": 0.901694, ""input_dim"": 98, ""seq_len"": 48, ""hidden"": 64, ""layers"": 1, ""drop"": 0.1, ""lr"": 0.001, ""sl"": 48, ""arch"": ""lstm"", ""tier"": ""neural_grid"", ""val_start"": ""2023-06-26 01:00:00"", ""val_peak"": 86313.0}"
2026-04-25T04:28:31,lstm__h64_l1_d10_lr0010_sl48,42,24,2,75.999,771.38,"{""epochs_run"": 9, ""best_inner_val_loss"": 0.17336, ""input_dim"": 98, ""seq_len"": 48, ""hidden"": 64, ""layers"": 1, ""drop"": 0.1, ""lr"": 0.001, ""sl"": 48, ""arch"": ""lstm"", ""tier"": ""neural_grid"", ""val_start"": ""2023-06-23 01:00:00"", ""val_peak"": 6928.0}"
2026-04-25T04:48:48,lstm__h64_l1_d10_lr0010_sl48,42,24,3,49.6105,1216.65,"{""epochs_run"": 15, ""best_inner_val_loss"": 0.054018, ""input_dim"": 98, ""seq_len"": 48, ""hidden"": 64, ""layers"": 1, ""drop"": 0.1, ""lr"": 0.001, ""sl"": 48, ""arch"": ""lstm"", ""tier"": ""neural_grid"", ""val_start"": ""2023-06-20 01:00:00"", ""val_peak"": 3982.0}"
2026-04-25T04:57:30,lstm__h64_l1_d10_lr0010_sl48,42,24,4,29.8846,522.21,"{""epochs_run"": 7, ""best_inner_val_loss"": 0.369099, ""input_dim"": 98, ""seq_len"": 48, ""hidden"": 64, ""layers"": 1, ""drop"": 0.1, ""lr"": 0.001, ""sl"": 48, ""arch"": ""lstm"", ""tier"": ""neural_grid"", ""val_start"": ""2023-06-17 01:00:00"", ""val_peak"": 2738.0}"
2026-04-25T05:06:54,lstm__h64_l1_d10_lr0010_sl48,42,24,5,66.9108,564.0,"{""epochs_run"": 8, ""best_inner_val_loss"": 0.572701, ""input_dim"": 98, ""seq_len"": 48, ""hidden"": 64, ""layers"": 1, ""drop"": 0.1, ""lr"": 0.001, ""sl"": 48, ""arch"": ""lstm"", ""tier"": ""neural_grid"", ""val_start"": ""2023-06-14 01:00:00"", ""val_peak"": 4890.0}"
2026-04-25T05:19:55,lstm__h64_l1_d10_lr0010_sl48,42,48,0,77.7998,780.49,"{""epochs_run"": 9, ""best_inner_val_loss"": 21.664251, ""input_dim"": 98, ""seq_len"": 48, ""hidden"": 64, ""layers"": 1, ""drop"": 0.1, ""lr"": 0.001, ""sl"": 48, ""arch"": ""lstm"", ""tier"": ""neural_grid"", ""val_start"": ""2023-06-28 01:00:00"", ""val_peak"": 6688.0}"
2026-04-25T05:27:48,lstm__h64_l1_d10_lr0010_sl48,42,48,1,722.9993,473.17,"{""epochs_run"": 6, ""best_inner_val_loss"": 0.341417, ""input_dim"": 98, ""seq_len"": 48, ""hidden"": 64, ""layers"": 1, ""drop"": 0.1, ""lr"": 0.001, ""sl"": 48, ""arch"": ""lstm"", ""tier"": ""neural_grid"", ""val_start"": ""2023-06-25 01:00:00"", ""val_peak"": 86313.0}"
2026-04-25T05:35:32,lstm__h64_l1_d10_lr0010_sl48,42,48,2,58.2998,463.54,"{""epochs_run"": 6, ""best_inner_val_loss"": 0.071463, ""input_dim"": 98, ""seq_len"": 48, ""hidden"": 64, ""layers"": 1, ""drop"": 0.1, ""lr"": 0.001, ""sl"": 48, ""arch"": ""lstm"", ""tier"": ""neural_grid"", ""val_start"": ""2023-06-22 01:00:00"", ""val_peak"": 6928.0}"
2026-04-25T05:56:31,lstm__h64_l1_d10_lr0010_sl48,42,48,3,45.7118,1258.62,"{""epochs_run"": 17, ""best_inner_val_loss"": 0.22274, ""input_dim"": 98, ""seq_len"": 48, ""hidden"": 64, ""layers"": 1, ""drop"": 0.1, ""lr"": 0.001, ""sl"": 48, ""arch"": ""lstm"", ""tier"": ""neural_grid"", ""val_start"": ""2023-06-19 01:00:00"", ""val_peak"": 3982.0}"
