timestamp,model,seed,horizon,fold,val_rmse,train_time_s,config
2026-04-25T03:52:41,mlp__h64_l1_d10_lr0010_sl48,42,24,0,104.1439,781.17,"{""epochs_run"": 10, ""best_inner_val_loss"": 6.186548, ""input_dim"": 98, ""seq_len"": 48, ""hidden"": 64, ""layers"": 1, ""drop"": 0.1, ""lr"": 0.001, ""sl"": 48, ""arch"": ""mlp"", ""tier"": ""neural_grid"", ""val_start"": ""2023-06-29 01:00:00"", ""val_peak"": 6688.0}"
2026-04-25T04:00:36,mlp__h64_l1_d10_lr0010_sl48,42,24,1,873.7758,475.24,"{""epochs_run"": 6, ""best_inner_val_loss"": 4.664296, ""input_dim"": 98, ""seq_len"": 48, ""hidden"": 64, ""layers"": 1, ""drop"": 0.1, ""lr"": 0.001, ""sl"": 48, ""arch"": ""mlp"", ""tier"": ""neural_grid"", ""val_start"": ""2023-06-26 01:00:00"", ""val_peak"": 86313.0}"
2026-04-25T04:07:58,mlp__h64_l1_d10_lr0010_sl48,42,24,2,242.1966,441.29,"{""epochs_run"": 6, ""best_inner_val_loss"": 0.397464, ""input_dim"": 98, ""seq_len"": 48, ""hidden"": 64, ""layers"": 1, ""drop"": 0.1, ""lr"": 0.001, ""sl"": 48, ""arch"": ""mlp"", ""tier"": ""neural_grid"", ""val_start"": ""2023-06-23 01:00:00"", ""val_peak"": 6928.0}"
2026-04-25T04:22:14,mlp__h64_l1_d10_lr0010_sl48,42,24,3,42.7016,855.98,"{""epochs_run"": 12, ""best_inner_val_loss"": 0.056895, ""input_dim"": 98, ""seq_len"": 48, ""hidden"": 64, ""layers"": 1, ""drop"": 0.1, ""lr"": 0.001, ""sl"": 48, ""arch"": ""mlp"", ""tier"": ""neural_grid"", ""val_start"": ""2023-06-20 01:00:00"", ""val_peak"": 3982.0}"
2026-04-25T04:33:33,mlp__h64_l1_d10_lr0010_sl48,42,24,4,29.945,679.19,"{""epochs_run"": 10, ""best_inner_val_loss"": 0.370379, ""input_dim"": 98, ""seq_len"": 48, ""hidden"": 64, ""layers"": 1, ""drop"": 0.1, ""lr"": 0.001, ""sl"": 48, ""arch"": ""mlp"", ""tier"": ""neural_grid"", ""val_start"": ""2023-06-17 01:00:00"", ""val_peak"": 2738.0}"
2026-04-25T04:47:29,mlp__h64_l1_d10_lr0010_sl48,42,24,5,54.8778,835.24,"{""epochs_run"": 13, ""best_inner_val_loss"": 0.648939, ""input_dim"": 98, ""seq_len"": 48, ""hidden"": 64, ""layers"": 1, ""drop"": 0.1, ""lr"": 0.001, ""sl"": 48, ""arch"": ""mlp"", ""tier"": ""neural_grid"", ""val_start"": ""2023-06-14 01:00:00"", ""val_peak"": 4890.0}"
2026-04-25T04:56:51,mlp__h64_l1_d10_lr0010_sl48,42,48,0,78.9664,562.48,"{""epochs_run"": 7, ""best_inner_val_loss"": 22.138659, ""input_dim"": 98, ""seq_len"": 48, ""hidden"": 64, ""layers"": 1, ""drop"": 0.1, ""lr"": 0.001, ""sl"": 48, ""arch"": ""mlp"", ""tier"": ""neural_grid"", ""val_start"": ""2023-06-28 01:00:00"", ""val_peak"": 6688.0}"
2026-04-25T05:04:16,mlp__h64_l1_d10_lr0010_sl48,42,48,1,723.1116,444.93,"{""epochs_run"": 6, ""best_inner_val_loss"": 4.585807, ""input_dim"": 98, ""seq_len"": 48, ""hidden"": 64, ""layers"": 1, ""drop"": 0.1, ""lr"": 0.001, ""sl"": 48, ""arch"": ""mlp"", ""tier"": ""neural_grid"", ""val_start"": ""2023-06-25 01:00:00"", ""val_peak"": 86313.0}"
2026-04-25T05:21:31,mlp__h64_l1_d10_lr0010_sl48,42,48,2,231.5499,1034.78,"{""epochs_run"": 14, ""best_inner_val_loss"": 0.071068, ""input_dim"": 98, ""seq_len"": 48, ""hidden"": 64, ""layers"": 1, ""drop"": 0.1, ""lr"": 0.001, ""sl"": 48, ""arch"": ""mlp"", ""tier"": ""neural_grid"", ""val_start"": ""2023-06-22 01:00:00"", ""val_peak"": 6928.0}"
2026-04-25T05:44:15,mlp__h64_l1_d10_lr0010_sl48,42,48,3,41.6866,1364.17,"{""epochs_run"": 20, ""best_inner_val_loss"": 0.242433, ""input_dim"": 98, ""seq_len"": 48, ""hidden"": 64, ""layers"": 1, ""drop"": 0.1, ""lr"": 0.001, ""sl"": 48, ""arch"": ""mlp"", ""tier"": ""neural_grid"", ""val_start"": ""2023-06-19 01:00:00"", ""val_peak"": 3982.0}"
2026-04-25T05:59:51,mlp__h64_l1_d10_lr0010_sl48,42,48,4,58.74,935.66,"{""epochs_run"": 14, ""best_inner_val_loss"": 0.201372, ""input_dim"": 98, ""seq_len"": 48, ""hidden"": 64, ""layers"": 1, ""drop"": 0.1, ""lr"": 0.001, ""sl"": 48, ""arch"": ""mlp"", ""tier"": ""neural_grid"", ""val_start"": ""2023-06-16 01:00:00"", ""val_peak"": 8691.0}"
2026-04-25T06:05:52,mlp__h64_l1_d10_lr0010_sl48,42,48,5,42.2928,360.72,"{""epochs_run"": 6, ""best_inner_val_loss"": 0.503914, ""input_dim"": 98, ""seq_len"": 48, ""hidden"": 64, ""layers"": 1, ""drop"": 0.1, ""lr"": 0.001, ""sl"": 48, ""arch"": ""mlp"", ""tier"": ""neural_grid"", ""val_start"": ""2023-06-13 01:00:00"", ""val_peak"": 4890.0}"
2026-04-25T06:22:44,mlp__h64_l1_d10_lr0010_sl48,43,24,0,92.143,1012.28,"{""epochs_run"": 13, ""best_inner_val_loss"": 4.771203, ""input_dim"": 98, ""seq_len"": 48, ""hidden"": 64, ""layers"": 1, ""drop"": 0.1, ""lr"": 0.001, ""sl"": 48, ""arch"": ""mlp"", ""tier"": ""neural_grid"", ""val_start"": ""2023-06-29 01:00:00"", ""val_peak"": 6688.0}"
2026-04-25T06:30:18,mlp__h64_l1_d10_lr0010_sl48,43,24,1,876.5877,454.02,"{""epochs_run"": 6, ""best_inner_val_loss"": 3.638448, ""input_dim"": 98, ""seq_len"": 48, ""hidden"": 64, ""layers"": 1, ""drop"": 0.1, ""lr"": 0.001, ""sl"": 48, ""arch"": ""mlp"", ""tier"": ""neural_grid"", ""val_start"": ""2023-06-26 01:00:00"", ""val_peak"": 86313.0}"
2026-04-25T06:39:14,mlp__h64_l1_d10_lr0010_sl48,43,24,2,282.5747,536.08,"{""epochs_run"": 7, ""best_inner_val_loss"": 0.313335, ""input_dim"": 98, ""seq_len"": 48, ""hidden"": 64, ""layers"": 1, ""drop"": 0.1, ""lr"": 0.001, ""sl"": 48, ""arch"": ""mlp"", ""tier"": ""neural_grid"", ""val_start"": ""2023-06-23 01:00:00"", ""val_peak"": 6928.0}"
2026-04-25T06:47:25,mlp__h64_l1_d10_lr0010_sl48,43,24,3,41.7618,491.06,"{""epochs_run"": 7, ""best_inner_val_loss"": 0.06022, ""input_dim"": 98, ""seq_len"": 48, ""hidden"": 64, ""layers"": 1, ""drop"": 0.1, ""lr"": 0.001, ""sl"": 48, ""arch"": ""mlp"", ""tier"": ""neural_grid"", ""val_start"": ""2023-06-20 01:00:00"", ""val_peak"": 3982.0}"
2026-04-25T07:00:07,mlp__h64_l1_d10_lr0010_sl48,43,24,4,31.1251,761.61,"{""epochs_run"": 11, ""best_inner_val_loss"": 0.37061, ""input_dim"": 98, ""seq_len"": 48, ""hidden"": 64, ""layers"": 1, ""drop"": 0.1, ""lr"": 0.001, ""sl"": 48, ""arch"": ""mlp"", ""tier"": ""neural_grid"", ""val_start"": ""2023-06-17 01:00:00"", ""val_peak"": 2738.0}"
2026-04-25T07:13:40,mlp__h64_l1_d10_lr0010_sl48,43,24,5,49.6323,812.48,"{""epochs_run"": 12, ""best_inner_val_loss"": 0.616107, ""input_dim"": 98, ""seq_len"": 48, ""hidden"": 64, ""layers"": 1, ""drop"": 0.1, ""lr"": 0.001, ""sl"": 48, ""arch"": ""mlp"", ""tier"": ""neural_grid"", ""val_start"": ""2023-06-14 01:00:00"", ""val_peak"": 4890.0}"
2026-04-25T07:26:48,mlp__h64_l1_d10_lr0010_sl48,43,48,0,85.4235,787.95,"{""epochs_run"": 10, ""best_inner_val_loss"": 22.021173, ""input_dim"": 98, ""seq_len"": 48, ""hidden"": 64, ""layers"": 1, ""drop"": 0.1, ""lr"": 0.001, ""sl"": 48, ""arch"": ""mlp"", ""tier"": ""neural_grid"", ""val_start"": ""2023-06-28 01:00:00"", ""val_peak"": 6688.0}"
2026-04-25T07:34:26,mlp__h64_l1_d10_lr0010_sl48,43,48,1,717.2593,458.05,"{""epochs_run"": 6, ""best_inner_val_loss"": 13.242671, ""input_dim"": 98, ""seq_len"": 48, ""hidden"": 64, ""layers"": 1, ""drop"": 0.1, ""lr"": 0.001, ""sl"": 48, ""arch"": ""mlp"", ""tier"": ""neural_grid"", ""val_start"": ""2023-06-25 01:00:00"", ""val_peak"": 86313.0}"
