timestamp,model,seed,horizon,fold,val_rmse,train_time_s,config
2026-04-25T03:47:36,nlinear__h64_l1_d10_lr0010_sl48,42,24,0,370.561,473.82,"{""epochs_run"": 7, ""best_inner_val_loss"": 6.601593, ""input_dim"": 98, ""seq_len"": 48, ""hidden"": 64, ""layers"": 1, ""drop"": 0.1, ""lr"": 0.001, ""sl"": 48, ""arch"": ""nlinear"", ""tier"": ""neural_grid"", ""val_start"": ""2023-06-29 01:00:00"", ""val_peak"": 6688.0}"
2026-04-25T03:57:33,nlinear__h64_l1_d10_lr0010_sl48,42,24,1,809.5895,596.68,"{""epochs_run"": 10, ""best_inner_val_loss"": 1.122391, ""input_dim"": 98, ""seq_len"": 48, ""hidden"": 64, ""layers"": 1, ""drop"": 0.1, ""lr"": 0.001, ""sl"": 48, ""arch"": ""nlinear"", ""tier"": ""neural_grid"", ""val_start"": ""2023-06-26 01:00:00"", ""val_peak"": 86313.0}"
2026-04-25T04:05:30,nlinear__h64_l1_d10_lr0010_sl48,42,24,2,67.6755,476.87,"{""epochs_run"": 8, ""best_inner_val_loss"": 0.239351, ""input_dim"": 98, ""seq_len"": 48, ""hidden"": 64, ""layers"": 1, ""drop"": 0.1, ""lr"": 0.001, ""sl"": 48, ""arch"": ""nlinear"", ""tier"": ""neural_grid"", ""val_start"": ""2023-06-23 01:00:00"", ""val_peak"": 6928.0}"
2026-04-25T04:26:03,nlinear__h64_l1_d10_lr0010_sl48,42,24,3,45.6454,1232.94,"{""epochs_run"": 20, ""best_inner_val_loss"": 0.088095, ""input_dim"": 98, ""seq_len"": 48, ""hidden"": 64, ""layers"": 1, ""drop"": 0.1, ""lr"": 0.001, ""sl"": 48, ""arch"": ""nlinear"", ""tier"": ""neural_grid"", ""val_start"": ""2023-06-20 01:00:00"", ""val_peak"": 3982.0}"
2026-04-25T04:45:16,nlinear__h64_l1_d10_lr0010_sl48,42,24,4,45.652,1152.52,"{""epochs_run"": 20, ""best_inner_val_loss"": 0.397848, ""input_dim"": 98, ""seq_len"": 48, ""hidden"": 64, ""layers"": 1, ""drop"": 0.1, ""lr"": 0.001, ""sl"": 48, ""arch"": ""nlinear"", ""tier"": ""neural_grid"", ""val_start"": ""2023-06-17 01:00:00"", ""val_peak"": 2738.0}"
2026-04-25T04:52:54,nlinear__h64_l1_d10_lr0010_sl48,42,24,5,82.8975,457.72,"{""epochs_run"": 8, ""best_inner_val_loss"": 0.801284, ""input_dim"": 98, ""seq_len"": 48, ""hidden"": 64, ""layers"": 1, ""drop"": 0.1, ""lr"": 0.001, ""sl"": 48, ""arch"": ""nlinear"", ""tier"": ""neural_grid"", ""val_start"": ""2023-06-14 01:00:00"", ""val_peak"": 4890.0}"
2026-04-25T04:59:44,nlinear__h64_l1_d10_lr0010_sl48,42,48,0,488.27,410.63,"{""epochs_run"": 6, ""best_inner_val_loss"": 21.26004, ""input_dim"": 98, ""seq_len"": 48, ""hidden"": 64, ""layers"": 1, ""drop"": 0.1, ""lr"": 0.001, ""sl"": 48, ""arch"": ""nlinear"", ""tier"": ""neural_grid"", ""val_start"": ""2023-06-28 01:00:00"", ""val_peak"": 6688.0}"
2026-04-25T05:06:07,nlinear__h64_l1_d10_lr0010_sl48,42,48,1,726.1529,383.0,"{""epochs_run"": 6, ""best_inner_val_loss"": 0.559188, ""input_dim"": 98, ""seq_len"": 48, ""hidden"": 64, ""layers"": 1, ""drop"": 0.1, ""lr"": 0.001, ""sl"": 48, ""arch"": ""nlinear"", ""tier"": ""neural_grid"", ""val_start"": ""2023-06-25 01:00:00"", ""val_peak"": 86313.0}"
2026-04-25T05:16:21,nlinear__h64_l1_d10_lr0010_sl48,42,48,2,89.6593,613.46,"{""epochs_run"": 10, ""best_inner_val_loss"": 0.147879, ""input_dim"": 98, ""seq_len"": 48, ""hidden"": 64, ""layers"": 1, ""drop"": 0.1, ""lr"": 0.001, ""sl"": 48, ""arch"": ""nlinear"", ""tier"": ""neural_grid"", ""val_start"": ""2023-06-22 01:00:00"", ""val_peak"": 6928.0}"
2026-04-25T05:35:56,nlinear__h64_l1_d10_lr0010_sl48,42,48,3,52.1885,1175.45,"{""epochs_run"": 20, ""best_inner_val_loss"": 0.288501, ""input_dim"": 98, ""seq_len"": 48, ""hidden"": 64, ""layers"": 1, ""drop"": 0.1, ""lr"": 0.001, ""sl"": 48, ""arch"": ""nlinear"", ""tier"": ""neural_grid"", ""val_start"": ""2023-06-19 01:00:00"", ""val_peak"": 3982.0}"
2026-04-25T05:55:17,nlinear__h64_l1_d10_lr0010_sl48,42,48,4,72.7975,1161.01,"{""epochs_run"": 20, ""best_inner_val_loss"": 0.286362, ""input_dim"": 98, ""seq_len"": 48, ""hidden"": 64, ""layers"": 1, ""drop"": 0.1, ""lr"": 0.001, ""sl"": 48, ""arch"": ""nlinear"", ""tier"": ""neural_grid"", ""val_start"": ""2023-06-16 01:00:00"", ""val_peak"": 8691.0}"
2026-04-25T06:00:54,nlinear__h64_l1_d10_lr0010_sl48,42,48,5,87.8415,336.52,"{""epochs_run"": 6, ""best_inner_val_loss"": 0.587193, ""input_dim"": 98, ""seq_len"": 48, ""hidden"": 64, ""layers"": 1, ""drop"": 0.1, ""lr"": 0.001, ""sl"": 48, ""arch"": ""nlinear"", ""tier"": ""neural_grid"", ""val_start"": ""2023-06-13 01:00:00"", ""val_peak"": 4890.0}"
